px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	meas_type	NIS
56.0338	21.0767	2.73737	0.537813	0.156818	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	L	0.978813
56.0048	21.0617	2.80715	0.509664	0.12791	55.867	20.985	55.9669	20.9874	2.56561	0.978022	R	0.348483
58.6509	21.7873	3.18346	0.122687	-0.205245	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	L	0.512507
58.6485	21.7855	3.07198	0.107149	-0.226634	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	R	0.0328928
60.879	22.7781	2.63136	0.446813	0.136193	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	L	0.570813
60.8577	22.7659	2.76985	0.421556	0.112307	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	R	0.276358
63.3741	23.4112	3.04921	0.165116	-0.124044	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	L	0.250627
63.4528	23.4366	2.77427	0.120527	-0.178715	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	R	2.14729
66.3247	23.9881	3.61427	0.249095	0.0184455	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	L	0.587936
66.2123	23.9535	2.61127	0.251978	-0.0231854	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	R	3.06726
68.2635	24.3591	2.52263	0.207173	-0.0369477	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	L	0.00577695
68.3509	24.3907	2.6575	0.215898	-0.0306208	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	R	1.98553
70.8198	24.8816	3.09145	0.221312	-0.0074302	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	L	0.123754
70.7774	24.8647	2.48351	0.208905	-0.04217	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	R	0.684644
72.892	24.7199	2.47092	-0.148841	-0.23965	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	L	0.136295
72.9414	24.737	2.51009	-0.147131	-0.244529	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	R	0.677454
75	25.2451	2.2137	0.325442	0.199703	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	L	0.792007
74.9857	25.2423	2.15413	0.323379	0.199206	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	R	0.0387701
77.1139	24.9483	2.27554	-0.362953	-0.351215	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	L	1.04628
77.1369	24.9534	2.2243	-0.388368	-0.386629	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	R	0.184989
79.0977	25.0156	1.90702	0.0806477	0.156845	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	L	1.42584
79.1068	25.0194	1.90584	0.0839377	0.157446	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	R	0.0305168
80.8051	24.8752	2.04296	-0.0361677	-0.0139694	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	L	0.108712
80.8479	24.8814	1.80054	-0.0794217	-0.0920868	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	R	1.22986
82.6114	24.6372	2.32665	-0.106229	-0.0504954	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	L	0.150734
82.5667	24.6197	1.95328	-0.206944	-0.224491	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	R	0.697973
84.1689	24.541	1.95509	-0.0142525	0.0261346	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	L	0.257507
84.1597	24.5444	1.78616	-0.0362912	-0.023921	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	R	0.210443
85.6389	23.8197	1.8435	-0.53103	-0.308481	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	L	0.294908
85.6973	23.8361	1.94903	-0.507832	-0.288353	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	R	0.840106
86.9445	23.51	1.24336	-0.291008	0.010499	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	L	0.633967
87.0644	23.5437	1.37796	-0.231745	0.0427807	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	R	3.78645
88.8024	22.7948	2.59855	-0.434768	-0.105631	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	L	0.759745
88.7117	22.7514	2.31301	-0.678012	-0.415601	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	R	1.5308
89.5139	22.2805	0.393168	-0.717462	-0.213412	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	L	1.80694
89.6264	22.2528	0.941092	-0.641259	-0.0794594	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	R	2.95148
90.4968	21.662	1.44477	-0.471344	0.0770125	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	L	0.235755
90.5676	21.6783	1.48454	-0.420963	0.079721	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	R	1.77315
91.713	21.1134	1.65231	-0.259169	0.126233	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	L	0.0285592
91.7395	21.1273	1.43564	-0.396839	-0.0921991	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	R	2.62211
92.8537	20.9417	1.39381	-0.0693134	0.155636	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	L	0.25667
92.9	20.969	1.16716	-0.0381589	0.117423	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	R	2.79806
93.4833	20.2474	0.48537	-0.763781	-0.377901	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	L	1.22578
93.5851	20.2888	1.01496	-0.580564	-0.151682	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	R	2.19561
95.2737	19.6451	2.77919	0.0897964	0.325136	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	L	2.51463
95.0267	19.6552	1.52177	-0.0443988	0.152986	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	R	10.2456
95.5218	19.6993	0.539653	0.175862	0.189543	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	L	0.504916
95.5474	19.7019	0.777279	0.172527	0.191356	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	R	0.163756
96.2543	19.2184	0.748665	-0.821736	-0.489557	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	L	1.86097
96.3106	19.2547	1.03002	-0.619777	-0.289826	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	R	0.864095
97.4947	18.713	1.96776	-0.229942	0.090032	97.5286	18.727	97.45	18.506	0.868716	-0.503009	L	1.14723
97.4038	18.7109	1.55117	-0.428255	-0.202812	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	R	1.6848
98.2154	18.3656	1.03907	-0.358783	-0.055102	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	L	0.178693
98.2361	18.3731	1.00753	-0.367072	-0.08069	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	R	0.27181
99.0397	17.3828	1.47102	-1.12592	-0.472432	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	L	0.682472
99.0527	17.427	1.45914	-0.761463	-0.0427684	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	R	0.921986
99.9814	16.9639	0.996115	-0.414939	0.188061	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	L	0.626408
100.061	16.978	1.04497	-0.356975	0.215736	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	R	1.84161
101.191	16.5371	1.67828	-0.147682	0.210808	101.204	16.5368	101.065	16.497	0.991362	-0.513687	L	0.194019
101.139	16.5265	1.32027	-0.28417	0.0483518	101.169	16.4353	101.065	16.497	0.991362	-0.513687	R	0.750684
102.375	16.391	1.73703	0.0931626	0.233057	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	L	0.232364
102.268	16.3836	1.22236	0.0757762	0.209231	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	R	1.9069
103.012	15.4008	0.614146	-1.10155	-0.592117	103.003	15.353	103.119	15.4967	1.11708	-0.508169	L	2.54141
102.99	15.4651	1.17708	-0.628469	-0.0252893	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	R	4.36315
104.09	15.2481	1.41372	0.0767599	0.399036	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	L	0.912544
104.039	15.2424	1.30466	0.036077	0.374995	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	R	0.601843
105.531	14.4756	1.83391	-0.782633	-0.313699	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	L	1.72218
105.48	14.4765	1.82573	-0.725232	-0.242559	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	R	0.736502
106.815	14.0272	1.39716	-0.298162	0.170735	106.831	14.0482	106.737	14.0724	1.37529	-0.457255	L	1.09436
106.772	14.0057	1.52384	-0.30107	0.209475	106.439	14.2401	106.737	14.0724	1.37529	-0.457255	R	1.32765
108.079	13.6595	1.73062	-0.0559221	0.231302	108.084	13.6604	108.122	13.644	1.47592	-0.423202	L	0.0248041
108.082	13.6606	1.66614	-0.0623394	0.218322	108.131	13.6844	108.122	13.644	1.47592	-0.423202	R	0.055085
109.531	13.5729	1.84576	0.0797587	0.173036	109.534	13.5714	109.606	13.2536	1.58144	-0.378583	L	0.0235581
109.485	13.5666	1.61286	0.0654831	0.160566	109.388	13.1556	109.606	13.2536	1.58144	-0.378583	R	0.420568
111.057	12.6116	1.82828	-0.914778	-0.519411	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	L	1.62209
111.147	12.6585	2.30603	-0.657848	-0.180956	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	R	2.19107
112.901	12.4646	1.51246	-0.0677829	0.29764	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	L	1.58673
112.912	12.4465	1.77232	-0.0594289	0.315415	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	R	0.393704
114.788	12.5474	2.43538	0.287764	0.333764	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	L	0.25511
114.789	12.5536	2.08519	0.303939	0.372504	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	R	0.431861
116.68	12.1234	1.94094	-0.314739	-0.223936	116.687	12.1035	116.611	12.2921	2.01507	-0.0838683	L	1.28192
116.725	12.1389	2.26958	-0.232675	-0.127423	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	R	0.495085
118.94	11.993	2.75291	0.0479689	0.131657	118.953	12.0009	118.628	12.2586	2.11648	0.0177712	L	0.416731
118.906	11.9978	2.3667	0.0695007	0.138171	118.85	12.4063	118.628	12.2586	2.11648	0.0177712	R	0.437704
120.698	12.2912	2.19123	0.261513	0.171834	120.695	12.2918	120.743	12.3289	2.21139	0.128528	L	0.0224466
120.744	12.2953	2.29671	0.260554	0.169143	120.934	12.1905	120.743	12.3289	2.21139	0.128528	R	0.454671
123.541	12.8298	3.65824	0.0841644	-0.0485588	123.568	12.8297	122.95	12.5114	2.29835	0.246599	L	1.28987
123.433	12.81	2.70913	0.0223575	-0.0994944	123.142	12.7694	122.95	12.5114	2.29835	0.246599	R	2.75118
124.909	12.7738	1.84825	-0.0700016	-0.0945889	124.894	12.7743	125.242	12.8125	2.37624	0.369827	L	0.521719
125.019	12.7865	2.6226	-0.0559212	-0.0642158	125.376	12.9964	125.242	12.8125	2.37624	0.369827	R	2.64299
127.836	13.3177	3.4491	0.411231	0.270162	127.853	13.3273	127.609	13.2365	2.44434	0.495787	L	0.857904
127.758	13.3187	2.96883	0.471643	0.36227	127.506	13.153	127.609	13.2365	2.44434	0.495787	R	1.32364
129.95	13.7107	2.26474	0.224686	-0.021959	129.947	13.6963	130.042	13.7853	2.50232	0.621879	L	0.741152
130.033	13.7228	2.50127	0.212784	-0.0354185	130.334	13.781	130.042	13.7853	2.50232	0.621879	R	1.39904
132.091	14.5027	2.62906	0.381766	0.0937136	132.092	14.507	132.53	14.458	2.55028	0.74543	L	0.0651197
132.16	14.5089	2.81566	0.366977	0.0741484	132.447	14.3423	132.53	14.458	2.55028	0.74543	R	1.02817
135.054	15.0492	3.6875	0.0185811	-0.192812	135.074	15.0475	135.066	15.2513	2.58865	0.863795	L	0.759086
135.031	15.0311	2.98143	-0.0619168	-0.29	135.127	14.6575	135.066	15.2513	2.58865	0.863795	R	1.16445
137.561	16.1974	2.79813	0.606241	0.31808	137.561	16.2147	137.639	16.1592	2.61821	0.974442	L	1.31528
137.593	16.1924	3.20828	0.531594	0.214526	137.653	16.5145	137.639	16.1592	2.61821	0.974442	R	0.355948
140.323	17.0152	3.17145	0.215638	-0.131798	140.331	17.008	140.242	17.1733	2.63994	1.07503	L	0.514774
140.325	17.012	3.06627	0.217442	-0.124044	140.305	17.5379	140.242	17.1733	2.63994	1.07503	R	0.0794575
142.887	17.9869	3.21124	0.372436	0.0540872	142.888	17.9918	142.868	18.2829	2.65497	1.16346	L	0.119087
142.839	17.9816	3.08938	0.38099	0.0653323	142.626	18.1458	142.868	18.2829	2.65497	1.16346	R	0.520803
145.386	19.1603	3.41352	0.418376	0.0468952	145.392	19.1617	145.51	19.4754	2.66445	1.23795	L	0.063141
145.457	19.1711	3.27875	0.435723	0.10035	145.789	19.3785	145.51	19.4754	2.66445	1.23795	R	1.7898
148.241	20.4736	3.78801	0.406815	0.0169676	148.251	20.4754	148.163	20.7364	2.66951	1.29702	L	0.188947
148.208	20.4697	3.26606	0.485066	0.165416	148.146	20.9376	148.163	20.7364	2.66951	1.29702	R	0.72534
150.68	22.1119	3.60497	0.623782	0.147443	150.686	22.1142	150.825	22.0502	2.67111	1.33953	L	0.066819
150.664	22.1096	3.55724	0.634394	0.164229	150.649	21.8148	150.825	22.0502	2.67111	1.33953	R	0.0547947
153.416	23.4956	3.45444	0.403542	-0.0862921	153.422	23.4909	153.491	23.3999	2.66999	1.3647	L	0.304653
153.393	23.4849	3.18117	0.45891	0.00110303	153.466	22.9115	153.491	23.3999	2.66999	1.3647	R	0.273899
156.039	24.8067	3.55893	0.412307	-0.0297286	156.047	24.8084	156.159	24.7682	2.66666	1.37208	L	0.0903161
156.019	24.805	3.0614	0.466017	0.0798516	156.009	25.0678	156.159	24.7682	2.66666	1.37208	R	0.550925
158.888	26.0281	3.88934	0.320543	-0.0657438	158.905	26.0308	158.827	26.1372	2.66127	1.36157	L	0.507183
