px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	meas_type
NIS
6.99271	-1.20842	-1.08492	0.261391	4.16962e-05	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	L	6.95285e-310
7.00037	-1.21062	-1.07432	1.86428	4.17252e-05	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	R	6.95285e-310
6.9941	-1.34538	-1.0743	1.8453	4.73636e-05	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	L	6.95285e-310
7.00259	-1.34792	-1.10848	4.87189	4.73741e-05	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	R	6.95285e-310
6.99935	-1.48324	-1.10847	4.85328	5.25051e-05	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	L	6.95285e-310
7.00999	-1.4865	-1.12857	1.62879	5.26369e-05	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	R	6.95285e-310
7.00985	-1.61874	-1.12856	1.61073	5.74613e-05	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	L	6.95285e-310
7.02083	-1.62229	-1.14642	5.60998	5.7437e-05	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	R	6.95285e-310
7.02366	-1.75618	-1.14641	5.59211	6.23469e-05	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	L	6.95285e-310
7.03686	-1.76061	-1.1385	4.10531	6.24403e-05	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	R	6.95285e-310
7.04387	-1.89514	-1.13849	4.08751	6.89175e-05	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	L	6.95285e-310
7.05675	-1.89974	-1.17837	0.00417817	6.8985e-05	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	R	6.95285e-310
7.06705	-2.03507	-1.17836	-0.0131521	0.000127289	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	L	6.95285e-310
7.08258	-2.0408	-1.17318	0.587375	0.000127385	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	R	6.95285e-310
7.09738	-2.17361	-1.17317	0.570539	0.000132934	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	L	6.95285e-310
7.11216	-2.17937	-1.19349	3.23982	0.000133017	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	R	6.95285e-310
7.12792	-2.31255	-1.19348	3.22323	0.000139524	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	L	6.95285e-310
7.1441	-2.31913	-1.20049	2.32745	0.000139532	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	R	6.95285e-310
7.16438	-2.45261	-1.20048	2.31103	0.000145082	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	L	6.95285e-310
7.18271	-2.46035	-1.2142	3.11366	0.000144979	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	R	6.95285e-310
7.20649	-2.59143	-1.2142	3.09783	0.00015027	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	L	6.95285e-310
7.22343	-2.59893	-1.22033	2.69106	0.00015026	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	R	6.95285e-310
7.24759	-2.7306	-1.22032	2.67522	0.000154571	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	L	6.95285e-310
7.26516	-2.73867	-1.22873	2.82746	0.000154604	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	R	6.95285e-310
7.29213	-2.86818	-1.22872	2.81202	0.000160294	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	L	6.95285e-310
7.30999	-2.8767	-1.23561	2.75764	0.00016047	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	R	6.95285e-310
7.33734	-3.00654	-1.2356	2.74218	0.00016534	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	L	6.95285e-310
7.35645	-3.01597	-1.24568	2.76667	0.000165281	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	R	6.95285e-310
7.38606	-3.14636	-1.24567	2.75123	0.000170278	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	L	6.95285e-310
7.40604	-3.15656	-1.25074	2.74204	0.000169987	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	R	6.95285e-310
7.43599	-3.28507	-1.25074	2.72685	0.000176343	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	L	6.95285e-310
7.45538	-3.2953	-1.25827	2.72893	0.000175996	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	R	6.95285e-310
7.48571	-3.42401	-1.25826	2.71374	0.000180577	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	L	6.95285e-310
7.50425	-3.43411	-1.26264	2.7148	0.000180214	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	R	6.95285e-310
7.53467	-3.56092	-1.26263	2.69985	0.000188274	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	L	6.95285e-310
7.55475	-3.57217	-1.26995	2.70382	0.000187888	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	R	6.95285e-310
